Date,Open,High,Low,Close,Volume
27/06/17,2630.25,2670,2630.25,2653.1,265871
28/06/17,2631,2664.7,2625.15,2651.75,191968
29/06/17,2651.2,2666.95,2640.05,2651.5,181588
30/06/17,2650,2711,2645,2690.1,327643
03/07/17,2700,2706.1,2665,2682.55,144646
04/07/17,2668.1,2676.1,2610.3,2623.7,264253
05/07/17,2621.5,2669,2621.5,2664.95,181326
06/07/17,2664.95,2679,2642.1,2667.9,124936
07/07/17,2669.8,2729.5,2667.25,2705.4,284992
10/07/17,2733.3,2745.5,2700,2726.2,40393
11/07/17,2730,2732.4,2683,2691.25,160926
12/07/17,2693.85,2721.45,2668.65,2690.1,213175
13/07/17,2693.25,2719.75,2683,2694,137183
14/07/17,2699.15,2725,2686.4,2703,195286
17/07/17,2697.4,2703.7,2682.3,2697.25,201896
18/07/17,2690,2743.3,2687.55,2718.95,301108
19/07/17,2723,2784.8,2720.35,2774,364602
20/07/17,2774.95,2778.4,2742.3,2750.1,187889
21/07/17,2738,2780,2727,2762.55,282516
24/07/17,2785,2787,2688.9,2696.45,517895
25/07/17,2696.45,2713.35,2680,2692.15,374960
26/07/17,2708,2716.55,2680.9,2707.35,174665
27/07/17,2710,2723,2587,2620.35,1822665
28/07/17,2499.5,2506.55,2451.1,2464.95,1548997
31/07/17,2438,2448.1,2375,2383.2,1525068
01/08/17,2379,2458,2369.8,2431.55,1034078
02/08/17,2435.1,2439.9,2372.4,2378.55,570459
03/08/17,2388,2397,2314.35,2323.95,777585
04/08/17,2315,2315.05,2230.1,2239.55,1226639
07/08/17,2240,2257,2200,2206.95,736078
08/08/17,2205.8,2206.95,2084.85,2095.65,1360991
09/08/17,2090.9,2105,2032.5,2048.35,1124987
10/08/17,2042,2099,1934.1,1944.45,1540007
11/08/17,1925.05,2029.95,1901.15,2011.15,1857913
14/08/17,2000,2039.9,1970.1,2002.05,843270
16/08/17,1995,2017.8,1970.05,2005.25,662136
17/08/17,2010,2031.9,1992.45,2011.25,540131
18/08/17,1998,2007.55,1971.3,1982,349297
21/08/17,1990,2001,1921.1,1931.1,418295
22/08/17,1945,2014,1935,1984.15,772164
23/08/17,1991,2053.45,1991,2030.95,809996
24/08/17,2028,2100,2010.55,2088.15,1124967
28/08/17,2084,2089.75,2027.1,2049.4,844176
29/08/17,2049,2067.5,2032,2042.05,607366
30/08/17,2047,2074.4,2031.4,2038.9,401449
31/08/17,2044,2051.7,2006,2020.9,837809
01/09/17,2115,2233,2115,2217.55,3613589
04/09/17,2234,2236.4,2173.25,2195.1,947235
05/09/17,2198.3,2218.35,2181.9,2209.15,513527
06/09/17,2185.35,2208,2175.75,2196.9,527252
07/09/17,2204,2235,2201,2224.95,491394
08/09/17,2229,2229,2066.15,2162.5,1719424
11/09/17,2169,2198,2154,2159.5,445377
12/09/17,2165,2197.4,2135.4,2165.75,517997
13/09/17,2187,2228,2169.15,2217.35,755242
14/09/17,2234,2264.95,2230,2253.35,613254
15/09/17,2225.2,2245,2201.1,2211.2,672801
18/09/17,2204,2258.55,2175.6,2242.05,730962
19/09/17,2232,2265,2200,2241.55,566790
20/09/17,2250,2329,2240,2314.7,1333098
21/09/17,2346.25,2500,2346.25,2486.55,4057364
22/09/17,2494,2526.75,2446.55,2457.75,1991351
25/09/17,2464,2475,2405,2417.25,911049
26/09/17,2414,2415,2322.65,2370.75,1424436
27/09/17,2360,2384,2281.1,2304.7,935536
28/09/17,2300,2415,2272.2,2375.4,2815633
29/09/17,2375.4,2390.7,2320.1,2328.75,1133595
03/10/17,2415,2415,2320.45,2335.55,978860
04/10/17,2342,2398.4,2319.55,2387.6,1187980
05/10/17,2392,2428.4,2376,2389.15,759504
06/10/17,2395,2409.9,2368,2375.85,533762
09/10/17,2380,2433,2379.25,2408.95,633048
10/10/17,2419.7,2431.25,2401.6,2411.35,316335
11/10/17,2409.9,2420.05,2351.4,2372.15,450295
12/10/17,2397,2397,2358.5,2379.85,416094
13/10/17,2373,2379.6,2350,2354.45,341789
16/10/17,2356,2411,2356,2403.5,386658
17/10/17,2397,2397,2375.5,2381.35,307110
18/10/17,2386.7,2404,2376,2385.4,333114
19/10/17,2385,2387,2362.05,2373.05,47303
23/10/17,2390.1,2415,2352,2366.2,363956
24/10/17,2373,2382.3,2356,2363.65,194673
25/10/17,2366,2395.1,2340.2,2348.85,295696
26/10/17,2349.4,2357.95,2315,2344.35,449242
27/10/17,2354.7,2410,2339.8,2394.95,434936
30/10/17,2396,2465,2367.05,2438.5,832219
31/10/17,2420,2504,2390,2428.15,1957333
01/11/17,2412,2418.65,2348,2354.2,1176092
02/11/17,2354.2,2440,2354.2,2411.4,1239887
03/11/17,2434.7,2449.8,2392.95,2419.1,576646
06/11/17,2414,2419.1,2380.65,2392.25,283667
07/11/17,2402.2,2415,2337.5,2378,518350
08/11/17,2380.2,2420,2340,2346.6,432395
09/11/17,2368.6,2384.1,2340.2,2370.1,345854
10/11/17,2369.8,2379.9,2340,2347.85,209756
13/11/17,2354.7,2375,2330.05,2344.1,299182
14/11/17,2348.7,2349.95,2310.05,2320.3,279262
15/11/17,2324.4,2337,2293,2310.15,224495
16/11/17,2322.1,2342.1,2315,2333.55,282950
17/11/17,2333.55,2356.95,2303,2322.6,274657
20/11/17,2337,2337,2260.15,2274.45,273585
21/11/17,2275.2,2494,2275.2,2394.15,2392882
22/11/17,2365,2384.95,2336.05,2360.65,536873
23/11/17,2361.05,2367,2300,2306.25,686743
24/11/17,2310,2322.9,2286.85,2295.05,346100
27/11/17,2296,2305.8,2280.55,2294.8,246222
28/11/17,2290,2304,2268,2290.9,307103
29/11/17,2294,2319.9,2270,2276.8,575033
30/11/17,2261,2312.15,2261,2284.05,1452047
01/12/17,2280,2286,2222.5,2233.9,529288
04/12/17,2275,2275,2229.05,2242.4,295595
05/12/17,2247,2247,2202.1,2209.35,285781
06/12/17,2208,2223.75,2194.4,2200.2,260730
07/12/17,2208,2215,2188,2196.35,234439
08/12/17,2206.1,2208,2179.35,2185.45,383817
11/12/17,2198.7,2213.9,2171,2192.9,377793
12/12/17,2324.5,2326.4,2233.8,2256.35,1482214
13/12/17,2260,2287.35,2253.05,2260.7,401576
14/12/17,2288.1,2319.7,2275,2310.65,836204
15/12/17,2325,2380,2316.45,2371.5,743680
18/12/17,2365,2428,2332.95,2395,528351
19/12/17,2404.5,2421.6,2391.2,2399.5,448959
20/12/17,2395,2395,2350.4,2356,291975
21/12/17,2365,2374.7,2341,2351.75,249941
22/12/17,2360,2363,2330,2332.7,249602
26/12/17,2334.95,2367,2329,2360.3,410936
27/12/17,2363,2424.05,2362,2400.3,693520
28/12/17,2409.9,2448.4,2401.25,2430,764680
29/12/17,2429.95,2445.95,2403.15,2414.2,331967
01/01/18,2410,2436,2394.05,2404.15,242081
02/01/18,2427,2439,2395.6,2409.2,251537
03/01/18,2386.5,2386.5,2292.1,2339,886002
04/01/18,2343,2420,2343,2410.8,558617
05/01/18,2429,2479,2394.9,2473.4,639900
08/01/18,2470,2512,2470,2476.6,585871
09/01/18,2474.5,2475.75,2450,2457.8,243824
10/01/18,2459.95,2472,2420,2425.8,344328
11/01/18,2427,2451,2418,2425.35,185159
12/01/18,2433,2453.85,2413.65,2447.65,355780
15/01/18,2447,2461.25,2425.05,2431.75,156821
16/01/18,2436,2484,2431.75,2468.7,372133
17/01/18,2467,2506,2462.85,2491.85,381788
18/01/18,2500,2534,2450.15,2461.5,584198
19/01/18,2467,2505,2452,2490.35,240896
22/01/18,2440,2519,2440,2496.55,692415
23/01/18,2510,2549.95,2501,2520.4,730091
24/01/18,2523,2615,2523,2559.4,1126277
25/01/18,2554,2597.1,2453.2,2507.75,2652030
29/01/18,2448.95,2452,2342,2357.1,1154567
30/01/18,2356,2356,2285.2,2306.15,858002
31/01/18,2293,2306.15,2203.55,2225.35,1143907
01/02/18,2225,2225,2153.1,2157.95,968321
02/02/18,2150,2211.05,2110.05,2123.55,959646
05/02/18,2110.2,2139,2088.65,2116.5,603638
06/02/18,2050,2124,2005.55,2095.7,763234
07/02/18,2125.15,2147,2096.25,2111.4,398161
08/02/18,2125,2196,2125,2180.45,889623
09/02/18,2150,2208,2133.6,2193.8,479123
12/02/18,2194.7,2229.75,2179,2204.25,482626
14/02/18,2210,2226,2175.6,2183.3,309833
15/02/18,2204,2219,2177.3,2195.8,345185
16/02/18,2207,2240,2207,2213.55,458897
19/02/18,2223,2233.95,2105.05,2152,562310
20/02/18,2155,2196.5,2144.2,2163.65,669025
21/02/18,2180.2,2202,2140.75,2165.9,498005
22/02/18,2167,2172.6,2086.55,2123.45,1665309
23/02/18,2142.4,2185,2135.05,2167.05,743506
26/02/18,2120,2207.2,2090,2193.8,1184749
27/02/18,2200.2,2241.55,2198.3,2236,676152
28/02/18,2223.05,2266.95,2218.2,2237.25,992777
01/03/18,2200.05,2239.75,2193.55,2231.5,430777
05/03/18,2229.8,2239.9,2175.8,2180.8,598344
06/03/18,2201.45,2223.8,2166.85,2176.45,415000
07/03/18,2176.5,2204.3,2143,2149.6,492494
08/03/18,2172.9,2182,2128.1,2143.4,476763
09/03/18,2164,2182.8,2095,2129.9,470814
12/03/18,2160,2163.7,2122,2148.4,530428
13/03/18,2142,2194.15,2141.25,2181.5,519269
14/03/18,2185,2196,2166.8,2181.45,266769
15/03/18,2182.45,2218.4,2177,2182.75,335767
16/03/18,2180,2209,2118.3,2142.15,594361
19/03/18,2155,2170,2112.15,2119.85,292149
20/03/18,2114.95,2162.9,2101.95,2157.15,387372
21/03/18,2168.8,2179.85,2130.4,2141.7,369060
22/03/18,2139,2150.75,2097.1,2108.3,410402
23/03/18,2091,2101.9,2060.2,2072.3,474396
26/03/18,2072,2109.75,2050.3,2104,500280
27/03/18,2096,2119,2090,2102.45,324567
28/03/18,2103,2113.6,2071.6,2080.55,665647
02/04/18,2080,2138,2080,2132.1,245975
03/04/18,2111,2149.85,2111,2124.9,279023
04/04/18,2124,2125.25,2079.95,2091.4,353719
05/04/18,2115,2135.6,2097,2111.1,375110
06/04/18,2112,2133.6,2105.05,2124.8,264845
09/04/18,2120,2135.4,2109,2121.25,223287
10/04/18,2123,2135,2082.75,2112.1,515981
11/04/18,2130,2133.05,2090,2100.7,306020
12/04/18,2078,2078,2054.3,2060.5,679256
13/04/18,2072.3,2096,2067.8,2089.95,441352
16/04/18,2081.2,2110,2075,2102.45,289585
17/04/18,2105,2117.15,2088,2105.55,293638
18/04/18,2114.7,2117.25,2091.05,2101.65,227808
19/04/18,2111,2140,2107,2136.3,322550
20/04/18,2130,2145.95,2106.05,2121.9,267337
23/04/18,2123.4,2142,2095,2135.55,545145
24/04/18,2131.9,2180,2127.05,2150.15,886215
25/04/18,2151.45,2155.95,2113,2118,288899
26/04/18,2128,2147.2,2064.1,2076.85,1355549
27/04/18,2098,2112.2,2082,2097.75,319344
30/04/18,2110.8,2126.9,2098.05,2109.85,222664
02/05/18,2116.4,2127.8,2102.05,2118.2,198229
03/05/18,2122.2,2126.1,2087.65,2121.1,180076
04/05/18,2130,2145,2097.9,2106.6,364533
07/05/18,2110,2110.75,2055,2069.5,344097
08/05/18,2090,2094.05,2065,2074.95,250444
09/05/18,2075.85,2085,2058.5,2064.35,254351
10/05/18,2055,2059,1982,1989.6,660318
11/05/18,2003.5,2017.9,1960,1990.5,604488
14/05/18,2012,2043,2012,2017.75,581715
15/05/18,2017.75,2030,1978.2,2008.5,404721
16/05/18,2006,2008.5,1985,1993.95,274437
17/05/18,1995.8,1995.8,1950.1,1977.15,466175
18/05/18,1982.8,1992,1967.35,1982,507296
21/05/18,1991,1991,1887,1893.05,505736
22/05/18,1902.5,2036,1890,2009.6,2019136
23/05/18,1978,1993.9,1934.8,1954.35,734078
24/05/18,1962.7,1985.2,1942.95,1972.95,458454
25/05/18,1975,1995.8,1965,1967.85,435249
28/05/18,1966.75,2012.05,1960,1994.55,508364
29/05/18,2000,2014.55,1972.6,1980.7,490670
30/05/18,1975,1975,1952,1961.8,335848
31/05/18,1971.8,1971.8,1925.95,1936.6,1860178
01/06/18,1940,1963.45,1932.35,1941.4,441861
04/06/18,1978,2027.9,1965,1996,1400421
05/06/18,1980,1987.55,1954,1963.4,365344
06/06/18,1963,1977.9,1948,1960.45,415605
07/06/18,1965,1976.95,1961.2,1964.95,152700
08/06/18,1973,2072.6,1973,2062.9,1113559
11/06/18,2062.05,2125,2051.65,2083.2,1612295
12/06/18,2097,2195,2097,2190.65,2097114
13/06/18,2190,2304,2185,2256.3,2580254
14/06/18,2260.05,2299.65,2246.55,2269.4,1588963
15/06/18,2303,2385.8,2296.25,2349.85,4456911
18/06/18,2339,2411,2292.4,2385.85,2310151
19/06/18,2403.2,2429.6,2376.55,2393,2106466
20/06/18,2393,2409.9,2352.95,2367.75,1149681
21/06/18,2389,2389,2306.5,2316.4,1115131
22/06/18,2325,2347.5,2274.05,2336.25,1667277
25/06/18,2305,2326.8,2281,2290.15,1142767
26/06/18,2284,2285,2257.4,2267.15,628148
27/06/18,2257.9,2306.8,2245.9,2293.8,1552070
28/06/18,2289,2325.95,2272.2,2295.75,1228463
29/06/18,2279.95,2284,2223,2235.05,898423
02/07/18,2230,2260.55,2202.25,2240.35,774325
03/07/18,2258,2284,2235.2,2273.75,756573
04/07/18,2273.8,2338,2273.8,2317.25,1065535
05/07/18,2329.95,2348.7,2287.75,2298.65,830939
06/07/18,2300,2319.9,2255.85,2269.05,556218
09/07/18,2282,2335,2281.95,2330.05,729897
10/07/18,2345.6,2345.6,2303,2321.85,665940
11/07/18,2301,2333,2275,2301.35,820067
12/07/18,2326.7,2387.65,2326.65,2357.25,1312367
13/07/18,2340,2366.4,2301,2319.85,466927
16/07/18,2223.1,2223.1,2069.95,2093.95,3721516
17/07/18,2060,2119,2057.05,2065.3,1422184
18/07/18,2080,2096.55,2040.5,2065.65,1219549
19/07/18,2077.8,2077.8,2025,2029.2,762721
20/07/18,2026,2073,2020,2051.9,755783
23/07/18,2073,2073,2032.5,2041.7,587029
24/07/18,2043,2090,2043,2077.6,1289377
25/07/18,2087,2097.5,2061.55,2088.2,538614
26/07/18,2075.7,2191,2074.9,2132.75,1913049
27/07/18,2135,2135,2067.4,2083.2,896318
30/07/18,2080.05,2092.85,2058.3,2067.2,807995
31/07/18,2075,2135,2070.6,2127.8,1464380
01/08/18,2130,2182,2130,2175.7,912903
02/08/18,2175,2237.95,2170,2227.85,1039641
03/08/18,2236,2290,2230,2281.05,1013107
06/08/18,2285,2325,2228.2,2234.4,835775
07/08/18,2249.9,2281.45,2245.05,2258.8,499910
08/08/18,2263,2280,2237,2245.5,345399
09/08/18,2263.9,2263.9,2205.05,2237.7,390701
10/08/18,2236.4,2256.9,2205.5,2214.3,323888
13/08/18,2220,2249,2215.15,2241.6,267323
14/08/18,2254,2291,2239.05,2278.45,482038
16/08/18,2275.35,2361.45,2270.85,2353.45,895988
17/08/18,2373.9,2411.3,2350.9,2364.15,889022
20/08/18,2365,2396.95,2365,2380.75,361318
21/08/18,2388,2427.9,2354.1,2410.95,638958
23/08/18,2430,2520,2425,2463.6,1624568
24/08/18,2475,2477.4,2425.6,2447.45,576704
27/08/18,2453,2462.95,2426.5,2443.1,457122
28/08/18,2450,2480,2407.05,2414.5,750408
29/08/18,2420,2429.5,2377.5,2383.85,638133
30/08/18,2385,2417.95,2375.05,2380.15,1078598
31/08/18,2397,2499,2395,2492,1981320
03/09/18,2510,2632,2495,2593.4,3039924
04/09/18,2595,2615,2537.05,2543.1,1036459
05/09/18,2549.3,2590,2518.5,2567.7,1127153
06/09/18,2584,2620,2555.1,2566.95,1084494
07/09/18,2575,2644.3,2545.6,2632.5,1306632
10/09/18,2623.8,2659.8,2555,2563.9,1323873
11/09/18,2578.45,2586.45,2507.1,2524.45,1136931
12/09/18,2526,2574.45,2487.6,2529.15,1248825
14/09/18,2555.9,2595,2550.05,2581.85,677333
17/09/18,2581,2615,2547.9,2568.5,691773
18/09/18,2579.9,2637,2570,2584.15,1111458
19/09/18,2603.4,2636,2571,2607.1,869947
21/09/18,2643.95,2670.8,2441.1,2556.25,1411007
24/09/18,2577.8,2600.95,2529.3,2553.95,688659
25/09/18,2570.6,2619.25,2550.25,2611.7,759251
26/09/18,2617.7,2664.2,2591,2600.85,1206238
27/09/18,2609.9,2620.35,2529,2541,1050352
28/09/18,2559,2577,2484.55,2530.65,1069703
01/10/18,2531,2540.7,2440.35,2508.6,762356
03/10/18,2517,2549,2482,2489.55,705888
04/10/18,2469,2493.95,2360.25,2372.45,804214
05/10/18,2356,2429.1,2350.3,2394.55,736953
08/10/18,2395,2407.75,2332,2340.1,603789
09/10/18,2357.65,2477,2341.95,2454.15,1127674
10/10/18,2465,2514.05,2456,2484.6,893571
11/10/18,2412.05,2516,2408,2459,548027
12/10/18,2460,2490.95,2432.45,2450.5,925386
15/10/18,2461.1,2579.95,2443.4,2566.85,1123276
16/10/18,2566.9,2590,2537.5,2573.6,600003
17/10/18,2580,2599,2552,2565,492009
19/10/18,2550,2582.9,2530.5,2552.35,436984
22/10/18,2562.5,2582.65,2496.25,2519.4,556392
23/10/18,2524.95,2546.25,2425.1,2473.75,823509
24/10/18,2488,2497,2386.55,2434.3,725644
25/10/18,2411.6,2444.95,2380,2390.5,1339300
26/10/18,2391.4,2450,2368.05,2404.55,1125652
29/10/18,2440,2559,2439.9,2532.95,1030783
30/10/18,2530.7,2610,2515.25,2594.3,971039
31/10/18,2438.95,2554.4,2423.05,2542.45,2272822
01/11/18,2560,2574.45,2446.5,2461.6,1370566
02/11/18,2465.5,2475.9,2403.55,2423.25,880708
05/11/18,2440,2452,2391,2420.9,529589
06/11/18,2418.7,2460,2412,2450.85,378830
07/11/18,2460,2469.9,2442,2452.95,77956
09/11/18,2465,2465,2389,2400,1002927
